merchant,category
Zomato,Food
ZOMATO LTD,Food
ZOMATO ONLINE,Food
Zomato Gold,Food
Swiggy,Food
SWIGGY LIMITED,Food
Swiggy Instamart,Food
Swiggy One,Food
Blinkit,Food
Grofers,Food
GROFERS INDIA,Food
Zepto,Food
ZEPTO MARKETPLACE,Food
BigBasket,Food
BIG BASKET,Food
BB Daily,Food
BBDAILY,Food
Dunzo,Food
DUNZO DIGITAL,Food
Domino's Pizza,Food
DOMINOS,Food
DOMINOS PIZZA,Food
JUBILANT FOODWORKS,Food
Pizza Hut,Food
PIZZAHUT,Food
McDonald's,Food
MCDONALDS,Food
MC DONALDS,Food
MCD INDIA,Food
Westlife Foodworld,Food
KFC,Food
KFC INDIA,Food
KENTUCKY FRIED CHICKEN,Food
Burger King,Food
BURGERKING INDIA,Food
Subway,Food
SUBWAY INDIA,Food
SUBWAY SYSTEMS,Food
Starbucks,Food
TATA STARBUCKS,Food
Cafe Coffee Day,Food
CCD,Food
Barista,Food
BARISTA COFFEE,Food
BARISTA LAVAZZA,Food
Chaayos,Food
Third Wave Coffee,Food
Blue Tokai Coffee,Food
BLUE TOKAI,Food
Haldiram's,Food
HALDIRAM,Food
HALDIRAMS,Food
Bikanervala,Food
Sagar Ratna,Food
Saravana Bhavan,Food
HOTEL SARAVANA BHAVAN,Food
A2B,Food
ADYAR ANANDA BHAVAN,Food
A2B RESTAURANT,Food
Anjappar,Food
ANJAPPAR CHETTINAD,Food
Behrouz Biryani,Food
Faasos,Food
REBEL FOODS,Food
Ovenstory Pizza,Food
OVEN STORY,Food
Wow Momo,Food
Theobroma,Food
THEOBROMA PATISSERIE,Food
Karachi Bakery,Food
Monginis,Food
MONGINIS CAKE,Food
Baskin Robbins,Food
BASKINROBBINS,Food
Naturals Ice Cream,Food
Amul,Food
AMUL PARLOUR,Food
AMUL ICE CREAM,Food
Keventers,Food
Chai Point,Food
Tea Trails,Food
Nature's Basket,Food
NATURES BASKET,Food
GODREJ NATURES BASKET,Food
Reliance Fresh,Food
RELIANCE RETAIL FRESH,Food
Reliance Smart Bazaar,Food
SMART BAZAAR,Food
More Supermarket,Food
MORE RETAIL,Food
ADITYA BIRLA MORE,Food
Spencer's Retail,Food
SPENCERS RETAIL,Food
SPENCERS,Food
Nilgiris,Food
NILGIRIS SUPERMARKET,Food
Star Bazaar,Food
TATA STAR BAZAAR,Food
DMart,Food
D MART,Food
AVENUE SUPERMARTS,Food
DMART READY,Food
Food Hall,Food
FOODHALL INDIA,Food
Licious,Food
DELIGHTFUL GOURMET,Food
FreshToHome,Food
FRESH TO HOME,Food
Milkbasket,Food
Country Delight,Food
EatFit,Food
EAT FIT,Food
CUREFIT EATFIT,Food
Box8,Food
Freshmenu,Food
FRESH MENU,Food
Local Bakery,Food
LOCAL RESTAURANT,Food
HOTEL AND RESTAURANT,Food
Udupi Restaurant,Food
UDUPI HOTEL,Food
Nandhana Palace,Food
NANDHANA,Food
Empire Restaurant,Food
EMPIRE HOTEL,Food
Meghana Foods,Food
Paradise Biryani,Food
PARADISE FOOD COURT,Food
Shah Ghouse,Food
Bawarchi,Food
BAWARCHI RESTAURANT,Food
Kailash Parbat,Food
Truffles,Food
TRUFFLES RESTAURANT,Food
Absolute Barbecues,Food
AB'S,Food
Barbeque Nation,Food
Ministry of Beer,Food
MOB RESTAURANT,Food
Social,Food
SOCIAL RESTAURANT,Food
IMPRESARIO,Food
Chili's,Food
CHILIS INDIA,Food
TGI Friday's,Food
TGI FRIDAYS,Food
Uber,Travel
UBER INDIA,Travel
UBER TRIP,Travel
UBER *TRIP,Travel
Ola Cabs,Travel
OLA,Travel
OLACABS,Travel
ANI TECHNOLOGIES,Travel
Ola Money,Travel
Rapido,Travel
RAPIDO BIKE TAXI,Travel
IRCTC,Travel
IRCTC LTD,Travel
IRCTC ONLINE,Travel
INDIAN RAILWAYS,Travel
MakeMyTrip,Travel
MMT,Travel
Yatra,Travel
YATRA ONLINE,Travel
YATRA.COM,Travel
Goibibo,Travel
GO MMT,Travel
Cleartrip,Travel
EaseMyTrip,Travel
EASE MY TRIP,Travel
redBus,Travel
RED BUS,Travel
AbhiBus,Travel
IndiGo,Travel
INDIGO AIRLINES,Travel
INTERGLOBE AVIATION,Travel
6E INDIGO,Travel
SpiceJet,Travel
SPICEJET LTD,Travel
Air India,Travel
AIR INDIA LTD,Travel
Vistara,Travel
VISTARA AIRLINES,Travel
TATA SIA,Travel
Akasa Air,Travel
Indian Oil,Travel
INDIAN OIL CORP,Travel
IOCL,Travel
IOC PETROL PUMP,Travel
Bharat Petroleum,Travel
BPCL,Travel
Hindustan Petroleum,Travel
HPCL,Travel
HP PETROL PUMP,Travel
Shell Petrol Pump,Travel
SHELL INDIA,Travel
SHELL FUEL,Travel
Reliance Petrol Pump,Travel
RELIANCE PETROLEUM,Travel
FASTag Recharge,Travel
FASTAG,Travel
NETC FASTAG,Travel
PAYTM FASTAG,Travel
NHAI Toll,Travel
NHAI TOLL PLAZA,Travel
TOLL PLAZA,Travel
Delhi Metro,Travel
DMRC,Travel
DELHI METRO RAIL,Travel
Namma Metro,Travel
BMRCL,Travel
BANGALORE METRO,Travel
Chennai Metro,Travel
CMRL,Travel
CHENNAI METRO RAIL,Travel
Mumbai Metro,Travel
MMRDA METRO,Travel
Hyderabad Metro,Travel
L&T METRO HYDERABAD,Travel
BEST Bus,Travel
BEST UNDERTAKING MUMBAI,Travel
TSRTC,Travel
TELANGANA STATE RTC,Travel
KSRTC,Travel
KARNATAKA STATE RTC,Travel
KERALA STATE RTC,Travel
MSRTC,Travel
MAHARASHTRA STATE RTC,Travel
APSRTC,Travel
ANDHRA PRADESH RTC,Travel
Zoomcar,Travel
ZOOMCAR INDIA,Travel
Revv Self Drive,Travel
REVV CARS,Travel
Bounce Bike Rental,Travel
BOUNCE SHARE,Travel
Yulu Bikes,Travel
YULU BIKE,Travel
Trivago,Travel
TRIVAGO HOTEL,Travel
OYO Rooms,Travel
OYO,Travel
OYO HOTELS,Travel
Airbnb,Travel
AIRBNB PAYMENTS,Travel
AIRBNB INDIA,Travel
Booking.com,Travel
BOOKING COM,Travel
Agoda,Travel
AGODA COM,Travel
Treebo Hotels,Travel
TREEBO,Travel
FabHotels,Travel
FAB HOTELS,Travel
Parking App - Park+,Travel
PARK PLUS,Travel
GET MY PARKING,Travel
Amazon,Shopping
AMAZON.IN,Shopping
AMAZON PAY,Shopping
AMZN,Shopping
